title,old-price,new-price,main-subject,sub-subject,writer,translator,producer,seen
معجزه‌های خواربار‌فروشی نامیا,"
1,350,000ریال
","											    1,080,000 ریال
										","		                                    ادبیات
	","		                                    رمان خارجی
	",کیگو هیگاشینو,نفیسه خسروجردی,"			                                    میلکان
		",1922
کتابخانه نیمه شب,"
1,300,000ریال
","											    1,040,000 ریال
										","		                                    ادبیات
	","		                                    رمان خارجی
	",مت هیگ Matt Haig,محمد صالح نورانی زاده,"			                                    کوله پشتی
		",63374
مشروعیت عصر مدرن (پگاه روزگارنو),"
3,500,000ریال
","											    3,150,000 ریال
										","		                                    فلسفه
	","		                                    عمومی
	",هانس بلومنبرگ,زانیار ابراهیمی,"			                                    پگاه روزگار نو
		",1631
مغازه خودکشی,"
420,000ریال
","											    378,000 ریال
										","		                                    ادبیات
	","		                                    رمان خارجی
	",ژان تولی,احسان کرم ویسی,"			                                    چشمه
		",37519
ما شروعش می کنیم,"
1,560,000ریال
","											    1,404,000 ریال
										","		                                    ادبیات
	","		                                    رمان خارجی
	",کالین هوور Colleen Hoover,آرتمیس مسعودی,"			                                    آموت
		",2807
قدرت بی قدرتان (نشرنو),"

همراه شما هستیم | با ما تماس بگیرید
","											    650,000 ریال
										","		                                    سیاست
	","		                                    عمومی
	",واتسلاف هاول,احسان کیانی خواه,"			                                    نشر نو
		",13175
چادر سبز بزرگ,"
2,800,000ریال
","											    2,520,000 ریال
										","		                                    ادبیات
	","		                                    رمان خارجی
	",لودمیلا اولیتسکایا,مریم انصاری سعید,"			                                    برج
		",200
بی حد و مرز,"
1,390,000ریال
","											    1,112,000 ریال
										","		                                    روانشناسی
	","		                                    موفقیت
	",جیم کوییک Jim Kwik,پگاه فرهنگ مهر,"			                                    میلکان
		",16890
محکم در آغوشم بگیر,"
1,350,000ریال
","											    1,080,000 ریال
										","		                                    روانشناسی
	","		                                    ازدواج و زناشویی
	",سو جانسن,سمانه پرهیزکاری,"			                                    میلکان
		",13371
معجزه‌های خواربار‌فروشی نامیا,"
1,350,000ریال
","											    1,080,000 ریال
										","		                                    ادبیات
	","		                                    رمان خارجی
	",کیگو هیگاشینو,نفیسه خسروجردی,"			                                    میلکان
		",1922
