,number,name,price
0,1,فلش مموری ای دیتا مدل DashDrive UV150 ظرفیت 64 گیگابایت,217000
1,2,فلش مموری سن دیسک مدل Ultra Dual Drive M3.0 ظرفیت 64 گیگابایت,260000
2,3,فلش مموری سن دیسک مدل Ultra Dual Drive USB Type-C ظرفیت 64 گیگابایت,303000
3,4,فلش مموری کوئین تک مدل ROOT ظرفیت 64 گیگابایت,165000
4,5,فلش مموری ای دیتا مدل UV350 ظرفیت 64 گیگابایت,259000
5,6,فلش مموری USB 3.1 ای دیتا مدل UV320 ظرفیت 64 گیگابایت,197800
6,7,فلش مموری کوئین تک مدل STEP ظرفیت 64 گیگابایت,149500
7,8,فلش مموری سیلیکون پاور مدل Touch T08 ظرفیت 64 گیگابایت,213000
8,9,فلش مموری ای دیتا مدل DashDrive UV128 ظرفیت 64 گیگابایت,194000
9,10,فلش مموری سن دیسک مدل Ultra Flair CZ73 ظرفیت 64 گیگابایت,259000
10,11,فلش مموری سن دیسک مدل Cruzer Blade CZ50 ظرفیت 64 گیگابایت,199000
11,12,فلش مموری سن دیسک مدل Cruzer Fit CZ33 ظرفیت 64 گیگابایت,180000
12,13,فلش مموری USB 2.0 اچ پی مدل v220w طراحی جدید ظرفیت 64 گیگابایت,220000
13,14,فلش مموری ای دیتا مدل C906 ظرفیت 64 گیگابایت,173000
14,15,فلش مموری ای دیتا مدل UV210 ظرفیت 64 گیگابایت,199000
15,16,فلش مموری ای دیتا مدل UV131 ظرفیت 64 گیگابایت,250000
16,17,فلش مموری کوئین تک مدل CELL ظرفیت 64 گیگابایت,199700
17,18,فلش مموری ای دیتا مدل UV240 ظرفیت 64 گیگابایت,195000
18,19,فلش مموری USB 2.0 اچ پی مدل v220w ظرفیت 64 گیگابایت,200000
19,20,فلش مموری USB3.0 فیلیپس مدل Circle ظرفیت 64 گیگابایت,229000
