,عنوان,قیمت,مکان
0,آپارتمان ۷۵متری مجتمع میثاق,"۱,۷۰۰,۰۰۰,۰۰۰ تومان", قاسم‌آباد (شهرک غرب)
1,آپارتمان 135 مترپیامبراعظم 49 ثنایی 4,"۱,۸۰۰,۰۰۰,۰۰۰ تومان", بلوار توس
2,باغ ویلا روستای بهار 1350متر 400متر زیر بنا,"۴,۵۰۰,۰۰۰,۰۰۰ تومان", سپاد
3,آپارتمان 115متر ذوالفقار,"۱,۹۰۰,۰۰۰,۰۰۰ تومان", کوی امیرالمومنین
4,زمین انتهای مجیدیه (اراضی فاز ٢ ),"۲۲۴,۰۰۰,۰۰۰ تومان", الهیه
5,250متر گلبهار، دو قدمی دانشگاه ، سند تک برگ,"۱۲,۰۰۰,۰۰۰ تومان", جانباز
6,فروش قطعه زمین۵۰۰متری,"۱,۰۰۰,۰۰۰,۰۰۰ تومان", امیریه
7,250 متر زمین رو به روی دانشگاه گلبهار,"۱۵,۰۰۰,۰۰۰ تومان", محله جاهدشهر
8,165متری صفر اول جلال بعد از معلم فقط یک واحد مانده,"۵,۸۵۰,۰۰۰,۰۰۰ تومان", آزادشهر
9,فروش منزل دو طبقه ای کشمیری 35,"۶۳۰,۰۰۰,۰۰۰ تومان", رسالت
10,خانه دوطبقه(دوبلکس),"۵۲۵,۰۰۰,۰۰۰ تومان", پنج تن آل عبا
11,آپارتمان ۱۶۵متری امامت سه خواب,"۵,۲۰۰,۰۰۰,۰۰۰ تومان", آزادشهر
12,آپارتمان ۷۰متر,"۱,۵۰۰,۰۰۰,۰۰۰ تومان", محله طلاب
13,آپارتمان صفر/ تاپ لوکیشن,"۸,۸۰۰,۰۰۰,۰۰۰ تومان", بلوار سجاد
14,خانه ویلایی دو خواب,"۸۶۰,۰۰۰,۰۰۰ تومان", بلوار توس
15,آپارتمان ۹۱متر۲خواب/صفر/فول/مستردار/شیک,"۲,۰۰۰,۰۰۰,۰۰۰ تومان", الهیه
16,آپارتمان 100متر دوخاب,"۲,۰۰۰,۰۰۰,۰۰۰ تومان", شهرک طالقانی
17,اپارتمان 65 متر یک خواب,"۵۲۰,۰۰۰,۰۰۰ تومان", بلوار توس
18,زمین دو نبش ۸۰ متر,"۲۷۰,۰۰۰,۰۰۰ تومان", بلوار توس
19,آپارتمان سه خواب، شیک و زیبا,"۱,۷۹۹,۰۰۰,۰۰۰ تومان", عبدالمطلب
20,پیش فروش۱۲۰متر اول محمدیه/معاوضه با ماشین,"۳,۳۶۰,۰۰۰,۰۰۰ تومان", الهیه
21,باغ ویلا560متر داخل بافت روستا,"۲,۸۰۰,۰۰۰,۰۰۰ تومان", عسگریه
22,گلبهار ۷۵۰ متر زمین در بخش ۷,توافقی, فرهنگ
23,۲۵۰ متر زمین گلبهار بلوار امام رضا منطقه ۸,"۲,۵۰۰,۰۰۰ تومان", بهشتی
