name,author,translator,speaker,fidibo_price,publisher,price,date,pages
گل‌ پسری بسه!                                                 برنامه‌ ای اثبات‌ شده برای دستیابی به خواسته‌ ها در زندگی فردی و روابط عاشقانه و جنسی,رابرت گلور,دانیال نظامی,,"۲۷,۰۰۰ تومان",رهنج,,۱۴۰۱/۱۰/۰۱,۱۹۱ صفحه
کتاب صوتی معجزه‌ی سپاس‌گزاری,راندا برن,سیما فرجی,نازیما حسینی,"۴۸,۰۰۰ تومان",آوانامه,,۱۴۰۰/۰۳/۱۹,
کتاب صوتی کتابخانه نیمه شب,مت هیگ,نیما مانی,آرمان سلطان‌زاده,"۵۸,۰۰۰ تومان",آوانامه,,۱۴۰۱/۱۰/۱۱,
کتاب قدرت و فکر مثبت                                                  نسخه PDF,نورمن وینسنت‌پیل,ربابه امیری,,"۴,۱۰۰ تومان",سپید,"قیمت نسخه چاپی ۸,۲۰۰ تومان",۱۳۹۵/۰۱/۱۵,۱۴۴ صفحه
"دانلود کتاب کار عمیق ترجمه ناهید ملکی از نشر نوین
                                        ",کارل نیوپورت,ناهید ملکی,,"۱۳,۰۰۰ تومان",نشر نوین,"قیمت نسخه چاپی ۴۵,۰۰۰ تومان",۱۴۰۰/۰۱/۱۸,۲۴۰ صفحه
"دانلود و خرید کتاب چگونه کمال‌گرا نباشیم؟ از استفان گایز
                                        ",استفان گایز,نرگس محمدی,,"۱۷,۵۰۰ تومان",نشر شمشاد,"قیمت نسخه چاپی ۳۵,۰۰۰ تومان",۱۳۹۸/۰۱/۱۵,۲۴۴ صفحه
کتاب کتابخانه نیمه‌ شب از انتشارات کوله پشتی                                                 یک کتابخانه، بی‌نهایت زندگی,مت هیگ,محمدصالح نورانی‌زاده,,"۲۵,۰۰۰ تومان",انتشارات کتاب کوله‌پشتی,"قیمت نسخه چاپی ۷۹,۰۰۰ تومان",۱۴۰۰/۱۰/۰۱,۳۵۲ صفحه
کتاب قدرت شروع ناقص                                                 جستارهایی درباره‌ی بهتر انجام‌دادن کارها,جیمز کلییر,سیدایوب کوکبی,فرزانه حاج‌خلیلی,"۲۵,۰۰۰ تومان",میلکان,,۱۴۰۰/۰۴/۲۵,۲۲۳ صفحه
کتاب حقایق مغز                                                 نسخه PDF,انجمن علوم اعصاب,بهنام سور,رضا پناهی,"۳۰,۰۰۰ تومان",انتشارات انسان,"قیمت نسخه چاپی ۳۸,۵۰۰ تومان",۱۳۹۸/۰۳/۱۰,۲۸۳ صفحه
کتاب صوتی کنترل ذهن وراج                                                 ۲۶ابزار برای استفاده از گفتگوهای درونی,ایتن کراس,فرخ بافنده,کامبیز خلیلی,"۳۸,۰۰۰ تومان",انتشارات کتاب‌سرای نیک,,۱۴۰۱/۰۵/۰۳,
کتاب علوم اعصاب دانش مغز                                                 مقدمه‌ای برای فراگیران جوان ـ نسخه PDF,ریچارد موریس,ماریان فیلنز,,"۲۰,۰۰۰ تومان",انتشارات انسان,,۱۴۰۰/۰۳/۱۰,۶۰ صفحه
مجموعه عاشقانه های كلاسيک؛ جین ایر، جلد اول                                                 جلد اول,شارلوت برونته,نوشین ابراهیمی,,"۵۰,۰۰۰ تومان",نشر افق,"قیمت نسخه چاپی ۸۸,۰۰۰ تومان",۱۴۰۱/۱۰/۳۰,۴۸۰ صفحه
کتاب معجزه شکرگزاری,راندا برن,علی اصغری,,"۱۵,۰۰۰ تومان",انتشارات نیک ورزان,"قیمت نسخه چاپی ۸۰,۰۰۰ تومان",۱۳۹۸/۱۰/۰۱,۱۵۶ صفحه
مجموعه عاشقانه های كلاسيک؛ زنان کوچک                                                  جلد چهارم,لوییزا می آلکوت,کیوان عبیدی آشتیانی,,"۵۰,۰۰۰ تومان",نشر افق,"قیمت نسخه چاپی ۱۳۵,۰۰۰ تومان",۱۳۹۲/۰۹/۱۵,۴۸۹ صفحه
"مجموعه عاشقانه های كلاسيک؛ جین ایر, جلد دوم                                                  جلد اول",شارلوت برونته,نوشین ابراهیمی,,"۵۰,۰۰۰ تومان",نشر افق,"قیمت نسخه چاپی ۷۳,۰۰۰ تومان",۱۳۹۳/۱۰/۱۵,۵۱۲ صفحه
غیرممکن غیرممکنه                                                 کار نشد ندارد,ماری فورلئو,سحر شریفی,,"۱۸,۰۰۰ تومان",میلکان,,۱۴۰۱/۱۰/۱۹,۲۵۶ صفحه
کتاب صوتی اثر مرکب,دارن هاردی,فرخ بافنده,شهره روحی,"۳۸,۰۰۰ تومان",,,,
کتاب صوتی یک شروع تازه                                                 از همین امروز شخصیت جدیدت شروع میشه,جول اوستین,امیر ابوالمعصوم,مهبد قناعت‌ پیشه,"۲۲,۳۰۰ تومان",نشر آگاه باشیم,,۱۳۹۹/۱۱/۰۱,
