name,year,director,rate,runtime,certificate,genre,gross
The Godfather,1972,Francis Ford Coppola,9.2,175 min,R,"Crime, Drama",134.97
The Dark Knight,2008,Christopher Nolan,9,152 min,PG-13,"Action, Crime, Drama",534.86
The Godfather: Part II,1974,Francis Ford Coppola,9,202 min,R,"Crime, Drama",57.3
12 Angry Men,1957,Sidney Lumet,9,96 min,Approved,"Crime, Drama",4.36
Mirror Game,2016,Amitabh Reza Chowdhury,9,147 min,,"Crime, Mystery, Thriller",27.271
Pulp Fiction,1994,Quentin Tarantino,8.9,154 min,R,"Crime, Drama",107.93
Jai Bhim,2021,T.J. Gnanavel,8.8,164 min,TV-MA,"Crime, Drama, Mystery",203.341
Goodfellas,1990,Martin Scorsese,8.7,145 min,R,"Biography, Crime, Drama",46.84
Se7en,1995,David Fincher,8.6,127 min,R,"Crime, Drama, Mystery",100.13
The Green Mile,1999,Frank Darabont,8.6,189 min,R,"Crime, Drama, Fantasy",136.8
The Silence of the Lambs,1991,Jonathan Demme,8.6,118 min,R,"Crime, Drama, Thriller",130.74
City of God,2002,Fernando Meirelles,8.6,130 min,R,"Crime, Drama",7.56
The Departed,2006,Martin Scorsese,8.5,151 min,R,"Crime, Drama, Thriller",132.38
Léon: The Professional,1994,Luc Besson,8.5,110 min,R,"Action, Crime, Drama",19.5
The Usual Suspects,1995,Bryan Singer,8.5,106 min,R,"Crime, Drama, Mystery",23.34
American History X,1998,Tony Kaye,8.5,119 min,R,"Crime, Drama",6.72
Kaithi,2019,Lokesh Kanagaraj,8.5,145 min,Not Rated,"Action, Adventure, Crime",33.605
Drishyam 2,2022,Abhishek Pathak,8.4,140 min,18,"Crime, Drama, Mystery",27.889
Joker,2019,Todd Phillips,8.4,122 min,R,"Crime, Drama, Thriller",335.45
Witness for the Prosecution,1957,Billy Wilder,8.4,116 min,Approved,"Crime, Drama, Mystery",8.18
Drishyam 2,2021,Jeethu Joseph,8.4,152 min,,"Crime, Drama, Thriller",38.184
High and Low,1963,Akira Kurosawa,8.4,143 min,Not Rated,"Crime, Drama, Mystery",46.087
Sardar Udham,2021,Shoojit Sircar,8.4,164 min,TV-MA,"Biography, Crime, Drama",43.062
Heat,1995,Michael Mann,8.3,170 min,R,"Action, Crime, Drama",67.44
Reservoir Dogs,1992,Quentin Tarantino,8.3,99 min,R,"Crime, Thriller",2.83
The Sting,1973,George Roy Hill,8.3,129 min,PG,"Comedy, Crime, Drama",159.6
Scarface,1983,Brian De Palma,8.3,170 min,R,"Crime, Drama",45.6
A Clockwork Orange,1971,Stanley Kubrick,8.3,136 min,R,"Crime, Sci-Fi",6.21
Once Upon a Time in America,1984,Sergio Leone,8.3,229 min,R,"Crime, Drama",5.32
To Kill a Mockingbird,1962,Robert Mulligan,8.3,129 min,Approved,"Crime, Drama",318.791
M,1931,Fritz Lang,8.3,99 min,Passed,"Crime, Mystery, Thriller",0.03
Vikram,2022,Lokesh Kanagaraj,8.3,175 min,,"Action, Crime, Thriller",60.186
K.G.F: Chapter 2,2022,Prashanth Neel,8.3,168 min,Not Rated,"Action, Crime, Drama",135.216
Double Indemnity,1944,Billy Wilder,8.3,107 min,Passed,"Crime, Drama, Film-Noir",5.72
Drishyam,2013,Jeethu Joseph,8.3,160 min,Not Rated,"Crime, Drama, Thriller",42.125
Raatchasan,2018,Ram Kumar,8.3,170 min,Not Rated,"Action, Crime, Drama",45.649
The Wolf of Wall Street,2013,Martin Scorsese,8.2,180 min,R,"Biography, Comedy, Crime",116.9
No Country for Old Men,2007,Ethan Coen,8.2,122 min,R,"Crime, Drama, Thriller",74.28
Taxi Driver,1976,Martin Scorsese,8.2,114 min,R,"Crime, Drama",28.26
Snatch,2000,Guy Ritchie,8.2,102 min,R,"Comedy, Crime",30.33
Batman Begins,2005,Christopher Nolan,8.2,140 min,PG-13,"Action, Crime, Drama",206.85
Kill Bill: Vol. 1,2003,Quentin Tarantino,8.2,111 min,R,"Action, Crime, Drama",70.1
Casino,1995,Martin Scorsese,8.2,178 min,R,"Crime, Drama",42.44
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,8.2,107 min,R,"Action, Comedy, Crime",3.9
L.A. Confidential,1997,Curtis Hanson,8.2,138 min,R,"Crime, Drama, Mystery",64.62
Drishyam,2015,Nishikant Kamat,8.2,163 min,Not Rated,"Crime, Drama, Mystery",0.74
Rashomon,1950,Akira Kurosawa,8.2,88 min,Not Rated,"Crime, Drama, Mystery",0.1
Dial M for Murder,1954,Alfred Hitchcock,8.2,105 min,PG,"Crime, Thriller",0.01
